Отличная заправка! Быстрое обслуживание и качественное топливо. Персонал вежливый и профессиональный;2024-01-15 14:30:22;2;обслуживание,качество,персонал
Очень долгое ожидание на заправке. Простоял в очереди больше получаса. Нужно улучшать организацию работы;2024-01-16 09:15:33;0;время_ожидания,организация,очередь
Заправился здесь несколько раз. Обычная заправка, ничего особенного. Цены как везде;2024-01-17 18:45:12;1;цены,топливо
Магазин на заправке хорошо укомплектован. Нашел все что нужно для дороги. Кофе вкусный;2024-01-18 12:20:45;2;магазин,кофе,ассортимент
Грязные туалеты и неубранная территория. За такие деньги можно было бы поддерживать чистоту;2024-01-19 16:10:18;0;чистота,туалеты,территория
Удобное расположение заправки. Легко добраться с основной дороги. Есть парковка;2024-01-20 08:33:27;2;расположение,парковка,доступность
Топливо некачественное, машина стала работать хуже после заправки. Больше сюда не поеду;2024-01-21 19:55:14;0;качество,топливо
Приятно удивила акция на мойку. Персонал мойки работает качественно и быстро;2024-01-22 11:42:36;2;мойка,акции,скорость
Терминал для оплаты постоянно зависает. Приходится идти в кассу, что создает дополнительные неудобства;2024-01-23 13:28:51;0;терминал,оплата,техника
Хорошая заправка в целом. Иногда бываю здесь, претензий особых нет;2024-01-24 15:17:03;1;общее_впечатление
Отличная программа лояльности! Накапливаю баллы и получаю скидки. Очень выгодно для постоянных клиентов;2024-01-25 10:05:29;2;программа_лояльности,скидки,баллы
Не работает половина колонок. Пришлось ждать свободную. Нужно следить за техническим состоянием;2024-01-26 17:38:42;0;колонки,техника,ожидание
Вежливые кассиры, всегда помогут и подскажут. Приятно заправляться в таком месте;2024-01-27 12:51:17;2;кассиры,вежливость,помощь
Цены завышены по сравнению с соседними заправками. За такую же услугу платишь больше;2024-01-28 14:22:58;0;цены,конкуренция
Заправка как заправка. Ничего плохого, но и ничего выдающегося. Средний уровень сервиса;2024-01-29 09:14:35;1;сервис,общее_впечатление
